model_id,gene,isoform
201184,DN5656_c0_g1,1
201185,DN5656_c0_g1,2
201186,DN5625_c0_g1,1
201187,DN5655_c0_g1,1
201188,DN5655_c0_g2,1
201189,DN5655_c0_g3,1
201190,DN5655_c0_g3,2
201191,DN5680_c0_g1,1
201192,DN5680_c0_g2,1
201193,DN5680_c0_g1,2
201194,DN5691_c0_g1,1
201195,DN5691_c0_g2,1
201196,DN5691_c0_g3,1
201197,DN5627_c0_g1,1
201198,DN5636_c0_g1,1
201199,DN5636_c0_g1,2
201200,DN5636_c0_g1,3
201201,DN5636_c0_g1,4
201202,DN5653_c0_g1,1
201203,DN5653_c0_g1,2
201204,DN5633_c0_g1,1
201205,DN5633_c0_g1,2
201206,DN5693_c0_g1,1
201207,DN5693_c0_g2,1
201208,DN5693_c0_g1,2
201209,DN5693_c0_g1,3
201210,DN5693_c0_g1,4
201211,DN5603_c0_g1,1
201212,DN5603_c0_g1,2
201213,DN5610_c0_g1,1
201214,DN5676_c0_g1,1
201215,DN5676_c0_g2,1
201216,DN5661_c0_g1,1
201217,DN5661_c0_g1,2
201218,DN5661_c0_g1,3
201219,DN5661_c0_g1,4
201220,DN5607_c0_g1,1
201221,DN5630_c0_g1,1
201222,DN5630_c0_g1,2
201223,DN5664_c0_g1,1
201224,DN5668_c0_g1,1
201225,DN5613_c0_g1,1
201226,DN5644_c0_g1,1
201227,DN5644_c0_g2,1
201228,DN5644_c0_g2,2
201229,DN5644_c0_g3,1
201230,DN5644_c0_g1,2
201231,DN5614_c0_g1,1
201232,DN5651_c0_g1,1
201233,DN5651_c0_g1,2
201234,DN5669_c0_g1,1
201235,DN5669_c0_g1,2
201236,DN5673_c0_g1,1
201237,DN5673_c0_g1,2
201238,DN5692_c0_g1,1
201239,DN5612_c0_g1,1
201240,DN5620_c0_g1,1
201241,DN5654_c0_g1,1
201242,DN5654_c0_g1,2
201243,DN5665_c0_g1,1
201244,DN5608_c0_g1,1
201245,DN5697_c0_g1,1
201246,DN5697_c0_g2,1
201247,DN5697_c0_g3,1
201248,DN5621_c0_g1,1
201249,DN5621_c1_g1,1
201250,DN5600_c0_g1,1
201251,DN5600_c0_g1,2
201252,DN5670_c0_g1,1
201253,DN5643_c0_g1,1
201254,DN5643_c0_g2,1
201255,DN5672_c0_g1,1
201256,DN5672_c0_g1,2
201257,DN5672_c0_g2,1
201258,DN5672_c0_g1,3
201259,DN5672_c0_g1,4
201260,DN5695_c0_g1,1
201261,DN5695_c0_g2,1
201262,DN5695_c0_g2,2
201263,DN5647_c0_g1,1
201264,DN5647_c0_g2,1
201265,DN5690_c0_g1,1
