model_id,gene,isoform
67399,DN5656_c0_g1,1
67400,DN5656_c0_g1,2
67401,DN5625_c0_g1,1
67402,DN5655_c0_g1,1
67403,DN5655_c0_g1,2
67404,DN5680_c0_g1,1
67405,DN5680_c0_g1,2
67406,DN5691_c0_g1,1
67407,DN5691_c0_g2,1
67408,DN5691_c0_g3,1
67409,DN5691_c1_g1,1
67410,DN5636_c0_g1,1
67411,DN5636_c0_g2,1
67412,DN5636_c0_g1,2
67413,DN5636_c0_g1,3
67414,DN5653_c0_g1,1
67415,DN5633_c0_g1,1
67416,DN5603_c0_g1,1
67417,DN5603_c0_g2,1
67418,DN5603_c0_g1,2
67419,DN5610_c0_g1,1
67420,DN5676_c0_g1,1
67421,DN5661_c0_g1,1
67422,DN5661_c0_g2,1
67423,DN5630_c0_g1,1
67424,DN5630_c0_g1,2
67425,DN5664_c0_g1,1
67426,DN5664_c0_g1,2
67427,DN5664_c0_g1,3
67428,DN5668_c0_g1,1
67429,DN5613_c0_g1,1
67430,DN5613_c0_g1,2
67431,DN5644_c0_g1,1
67432,DN5644_c0_g2,1
67433,DN5644_c0_g2,2
67434,DN5651_c0_g1,1
67435,DN5669_c0_g1,1
67436,DN5673_c0_g1,1
67437,DN5692_c0_g1,1
67438,DN5620_c0_g1,1
67439,DN5620_c0_g2,1
67440,DN5654_c0_g1,1
67441,DN5697_c0_g1,1
67442,DN5621_c0_g1,1
67443,DN5621_c0_g1,2
67444,DN5621_c0_g1,3
67445,DN5600_c0_g1,1
67446,DN5600_c0_g1,2
67447,DN5670_c0_g1,1
67448,DN5670_c0_g2,1
67449,DN5643_c0_g1,1
67450,DN5672_c0_g1,1
67451,DN5672_c0_g2,1
67452,DN5695_c0_g1,1
67453,DN5690_c0_g1,1
67454,DN5650_c0_g1,1
67455,DN5650_c0_g2,1
67456,DN5650_c0_g2,2
67457,DN5634_c0_g1,1
67458,DN5634_c0_g1,2
67459,DN5649_c0_g1,1
67460,DN5649_c0_g1,2
67461,DN5604_c0_g1,1
67462,DN5617_c0_g1,1
67463,DN5617_c0_g2,1
67464,DN5617_c0_g2,2
67465,DN5618_c0_g1,1
67466,DN5618_c0_g1,2
67467,DN5618_c0_g1,3
67468,DN5645_c0_g1,1
67469,DN5645_c0_g1,2
67470,DN5679_c0_g1,1
67471,DN5641_c0_g1,1
67472,DN5641_c0_g1,2
67473,DN5641_c0_g1,3
67474,DN5641_c0_g2,1
67475,DN5632_c0_g1,1
67476,DN5696_c0_g1,1
67477,DN5696_c0_g1,2
67478,DN5696_c1_g1,1
67479,DN5640_c0_g1,1
67480,DN5624_c0_g1,1
67481,DN5624_c0_g2,1
67482,DN5666_c0_g1,1
67483,DN5666_c0_g1,2
67484,DN5666_c0_g2,1
67485,DN5660_c0_g1,1
67486,DN5657_c0_g1,1
67487,DN5671_c0_g1,1
67488,DN5671_c0_g2,1
67489,DN5671_c0_g1,2
67490,DN5671_c0_g1,3
67491,DN5619_c0_g1,1
67492,DN5619_c0_g2,1
67493,DN5601_c0_g1,1
67494,DN5683_c0_g1,1
67495,DN5683_c0_g1,2
67496,DN5682_c0_g1,1
67497,DN5646_c0_g1,1
67498,DN5658_c0_g1,1
67499,DN5658_c0_g1,2
67500,DN5658_c0_g2,1
67501,DN5678_c0_g1,1
67502,DN5678_c0_g2,1
67503,DN5642_c0_g1,1
67504,DN5642_c0_g2,1
67505,DN5606_c0_g1,1
67506,DN5663_c0_g1,1
67507,DN5663_c0_g2,1
67508,DN5663_c0_g3,1
67509,DN5638_c0_g1,1
67510,DN5638_c0_g2,1
67511,DN5662_c0_g1,1
67512,DN5662_c0_g1,2
67513,DN5662_c0_g2,1
67514,DN5659_c0_g1,1
67515,DN5659_c0_g1,2
67516,DN5652_c0_g1,1
67517,DN5652_c0_g1,2
67518,DN5652_c0_g1,3
67519,DN5698_c0_g1,1
67520,DN5698_c0_g1,2
67521,DN5637_c0_g1,1
67522,DN5637_c0_g2,1
67523,DN5687_c0_g1,1
67524,DN5687_c0_g2,1
67525,DN5639_c0_g1,1
67526,DN5639_c0_g2,1
67527,DN5639_c0_g2,2
67528,DN5639_c0_g1,2
67529,DN5684_c0_g1,1
67530,DN5684_c0_g1,2
67531,DN5674_c0_g1,1
67532,DN5674_c0_g2,1
67533,DN5667_c0_g1,1
67534,DN5667_c0_g1,2
67535,DN5699_c0_g1,1
67536,DN5605_c0_g1,1
67537,DN5605_c0_g2,1
67538,DN5635_c0_g1,1
67539,DN5688_c0_g1,1
67540,DN5688_c0_g2,1
67541,DN5611_c0_g1,1
67542,DN5623_c0_g1,1
67543,DN5689_c0_g1,1
67544,DN5629_c0_g1,1
67545,DN5629_c0_g1,2
67546,DN5628_c0_g1,1
67547,DN5628_c0_g2,1
67548,DN5628_c0_g2,2
67549,DN5631_c0_g1,1
67550,DN5675_c0_g1,1
67551,DN5675_c0_g1,2
67552,DN5694_c0_g1,1
67553,DN5694_c0_g1,2
67554,DN5615_c0_g1,1
67555,DN5615_c0_g1,2
67556,DN5615_c0_g1,3
67557,DN5609_c0_g1,1
67558,DN5609_c0_g2,1
67559,DN12406_c0_g1,1
67560,DN12463_c0_g1,1
67561,DN12483_c0_g1,1
67562,DN12481_c0_g1,1
67563,DN12498_c0_g1,1
67564,DN12464_c0_g1,1
67565,DN12423_c0_g1,1
67566,DN12421_c0_g1,1
67567,DN12412_c0_g1,1
67568,DN12449_c0_g1,1
67569,DN12484_c0_g1,1
67570,DN12443_c0_g1,1
67571,DN12440_c0_g1,1
67572,DN12496_c0_g1,1
67573,DN12425_c0_g1,1
67574,DN12420_c0_g1,1
67575,DN12422_c0_g1,1
67576,DN12427_c0_g1,1
67577,DN12417_c0_g1,1
67578,DN12455_c0_g1,1
67579,DN12472_c0_g1,1
67580,DN12418_c0_g1,1
67581,DN12403_c0_g1,1
67582,DN12465_c0_g1,1
67583,DN12482_c0_g1,1
67584,DN12458_c0_g1,1
67585,DN12473_c0_g1,1
67586,DN12479_c0_g1,1
67587,DN12457_c0_g1,1
67588,DN12400_c0_g1,1
67589,DN12475_c0_g1,1
67590,DN12477_c0_g1,1
67591,DN12430_c0_g1,1
67592,DN12428_c0_g1,1
67593,DN12426_c0_g1,1
67594,DN12478_c0_g1,1
67595,DN12486_c0_g1,1
67596,DN12471_c0_g1,1
67597,DN12456_c0_g1,1
67598,DN12442_c0_g1,1
67599,DN12404_c0_g1,1
67600,DN12438_c0_g1,1
67601,DN12447_c0_g1,1
67602,DN12454_c0_g1,1
67603,DN12414_c0_g1,1
67604,DN12499_c0_g1,1
67605,DN12408_c0_g1,1
67606,DN12450_c0_g1,1
67607,DN12487_c0_g1,1
67608,DN12485_c0_g1,1
67609,DN12451_c0_g1,1
67610,DN12429_c0_g1,1
67611,DN12402_c0_g1,1
67612,DN12439_c0_g1,1
67613,DN12434_c0_g1,1
67614,DN12491_c0_g1,1
67615,DN12459_c0_g1,1
67616,DN12466_c0_g1,1
67617,DN12452_c0_g1,1
67618,DN12453_c0_g1,1
67619,DN12431_c0_g1,1
67620,DN12489_c0_g1,1
67621,DN12474_c0_g1,1
67622,DN12437_c0_g1,1
67623,DN12448_c0_g1,1
67624,DN12445_c0_g1,1
67625,DN12401_c0_g1,1
67626,DN12436_c0_g1,1
67627,DN12460_c0_g1,1
67628,DN12411_c0_g1,1
67629,DN12493_c0_g1,1
