model_id,gene,isoform
159834,DN5656_c0_g1,1
159835,DN5655_c0_g1,1
159836,DN5691_c0_g1,1
159837,DN5627_c0_g1,1
159838,DN5636_c0_g1,1
159839,DN5676_c0_g1,1
159840,DN5661_c0_g1,1
159841,DN5607_c0_g1,1
159842,DN5607_c0_g1,2
159843,DN5630_c0_g1,1
159844,DN5664_c0_g1,1
159845,DN5668_c0_g1,1
159846,DN5613_c0_g1,1
159847,DN5614_c0_g1,1
159848,DN5669_c0_g1,1
159849,DN5692_c0_g1,1
159850,DN5665_c0_g1,1
159851,DN5608_c0_g1,1
159852,DN5608_c0_g2,1
159853,DN5697_c0_g1,1
159854,DN5600_c0_g1,1
159855,DN5600_c0_g1,2
159856,DN5670_c0_g1,1
159857,DN5643_c0_g1,1
159858,DN5643_c0_g2,1
159859,DN5695_c0_g1,1
159860,DN5695_c0_g2,1
159861,DN5647_c0_g1,1
159862,DN5647_c0_g1,2
159863,DN5650_c0_g1,1
159864,DN5650_c0_g2,1
159865,DN5649_c0_g1,1
159866,DN5679_c0_g1,1
159867,DN5679_c0_g2,1
159868,DN5677_c0_g1,1
159869,DN5641_c0_g1,1
159870,DN5641_c0_g1,2
159871,DN5696_c0_g1,1
159872,DN5666_c0_g1,1
159873,DN5666_c0_g1,2
159874,DN5657_c0_g1,1
159875,DN5657_c0_g1,2
159876,DN5671_c0_g1,1
159877,DN5619_c0_g1,1
159878,DN5619_c0_g1,2
159879,DN5682_c0_g1,1
159880,DN5682_c0_g1,2
159881,DN5646_c0_g1,1
159882,DN5658_c0_g1,1
159883,DN5678_c0_g1,1
159884,DN5678_c0_g1,2
159885,DN5606_c0_g1,1
159886,DN5663_c0_g1,1
159887,DN5662_c0_g1,1
159888,DN5681_c0_g1,1
159889,DN5659_c0_g1,1
159890,DN5659_c0_g1,2
159891,DN5652_c0_g1,1
159892,DN5698_c0_g1,1
159893,DN5637_c0_g1,1
159894,DN5687_c0_g1,1
159895,DN5639_c0_g1,1
159896,DN5684_c0_g1,1
159897,DN5684_c0_g1,2
159898,DN5667_c0_g1,1
159899,DN5667_c0_g1,2
159900,DN5699_c0_g1,1
159901,DN5699_c0_g1,2
159902,DN5605_c0_g1,1
159903,DN5686_c0_g1,1
159904,DN5611_c0_g1,1
159905,DN5623_c0_g1,1
159906,DN5689_c0_g1,1
159907,DN5629_c0_g1,1
