model_id,gene,isoform
111591,DN5656_c0_g1,1
111592,DN5656_c0_g2,1
111593,DN5625_c0_g1,1
111594,DN5655_c0_g1,1
111595,DN5680_c0_g1,1
111596,DN5691_c0_g1,1
111597,DN5627_c0_g1,1
111598,DN5627_c0_g1,2
111599,DN5636_c0_g1,1
111600,DN5636_c0_g1,2
111601,DN5636_c0_g2,1
111602,DN5653_c0_g1,1
111603,DN5633_c1_g1,1
111604,DN5603_c0_g1,1
111605,DN5610_c0_g1,1
111606,DN5610_c0_g1,2
111607,DN5610_c0_g1,3
111608,DN5676_c0_g1,1
111609,DN5676_c0_g1,2
111610,DN5661_c0_g1,1
111611,DN5661_c0_g1,2
111612,DN5630_c0_g1,1
111613,DN5630_c0_g2,1
111614,DN5630_c0_g1,2
111615,DN5664_c0_g1,1
111616,DN5668_c0_g1,1
111617,DN5613_c0_g1,1
111618,DN5613_c0_g1,2
111619,DN5644_c0_g1,1
111620,DN5614_c0_g1,1
111621,DN5651_c0_g1,1
111622,DN5651_c0_g2,1
111623,DN5669_c0_g1,1
111624,DN5673_c0_g1,1
111625,DN5673_c0_g1,2
111626,DN5673_c0_g1,3
111627,DN5692_c0_g1,1
111628,DN5692_c0_g2,1
111629,DN5612_c0_g1,1
111630,DN5620_c0_g1,1
111631,DN5620_c0_g2,1
111632,DN5620_c0_g2,2
111633,DN5620_c0_g1,2
111634,DN5654_c0_g1,1
111635,DN5608_c0_g1,1
111636,DN5697_c0_g1,1
111637,DN5697_c0_g1,2
111638,DN5600_c0_g1,1
111639,DN5600_c0_g2,1
111640,DN5670_c0_g1,1
111641,DN5670_c0_g1,2
111642,DN5643_c0_g1,1
111643,DN5643_c0_g1,2
111644,DN5672_c0_g1,1
111645,DN5695_c0_g1,1
111646,DN5647_c0_g1,1
111647,DN5647_c0_g2,1
111648,DN5690_c0_g1,1
111649,DN5690_c0_g1,2
111650,DN5690_c0_g1,3
111651,DN5650_c0_g1,1
111652,DN5650_c0_g1,2
111653,DN5685_c0_g1,1
111654,DN5634_c0_g1,1
111655,DN5634_c0_g2,1
111656,DN5617_c0_g1,1
111657,DN5617_c0_g1,2
111658,DN5617_c0_g2,1
111659,DN5617_c0_g2,2
111660,DN5617_c0_g3,1
111661,DN5618_c0_g1,1
111662,DN5679_c0_g1,1
111663,DN5679_c0_g1,2
111664,DN5648_c0_g1,1
111665,DN5648_c0_g2,1
111666,DN5677_c0_g1,1
111667,DN5641_c0_g1,1
111668,DN5632_c0_g1,1
111669,DN5696_c0_g1,1
111670,DN5696_c0_g2,1
111671,DN5640_c0_g1,1
111672,DN5624_c0_g1,1
111673,DN5624_c0_g1,2
111674,DN5624_c0_g1,3
111675,DN5666_c0_g1,1
